time,open,high,low,close,ema25,ema50,MA200,MA50,MA200,MA50,Volume,RSI,RSI-based MA,Upper Bollinger Band,Histogram,MACD,Signal,EPS Estimate FQ,EPS Estimate FY,Revenue Estimate FQ,Revenue Estimate FY
1710772200,97.332,99.299,96.349,98.315,95.366,93.4,88.484,93.4,88.484,93.4,1456179,40.138,50,,0.46,4.767,4.656,1.0,4,10000000000,35000000000
1710858600,97.15,99.113,96.169,98.131,95.188,93.225,88.318,93.225,88.318,93.225,1087317,39.015,50,,-0.205,-4.647,4.599,1.0,4,10000000000,35000000000
1710945000,97.026,98.986,96.046,98.006,95.065,93.105,88.205,93.105,88.205,93.105,3123615,57.127,50,,0.089,-2.794,4.756,1.0,4,10000000000,35000000000
1711031400,98.336,100.323,97.343,99.33,96.35,94.363,89.397,94.363,89.397,94.363,3166775,48.034,50,,0.048,-4.693,1.749,1.0,4,10000000000,35000000000
1711117800,99.688,101.701,98.681,100.695,97.674,95.66,90.625,95.66,90.625,95.66,3767501,55.238,50,,-0.882,-2.014,4.679,1.0,4,10000000000,35000000000
1711377000,101.36,103.407,100.336,102.383,99.312,97.264,92.145,97.264,92.145,97.264,2285078,32.829,50,,-0.847,4.172,-2.021,1.0,4,10000000000,35000000000
1711463400,100.006,102.026,98.996,101.016,97.986,95.965,90.914,95.965,90.914,95.965,3369533,40.094,50,,-0.983,3.787,-4.621,1.0,4,10000000000,35000000000
1711549800,101.448,103.497,100.423,102.472,99.398,97.349,92.225,97.349,92.225,97.349,4778283,52.811,50,,-0.657,3.678,4.738,1.0,4,10000000000,35000000000
1711636200,102.418,104.487,101.384,103.453,100.349,98.28,93.108,98.28,93.108,98.28,3134371,31.497,50,,-0.599,-4.01,0.734,1.0,4,10000000000,35000000000
1711722600,104.227,106.332,103.174,105.279,102.121,100.015,94.751,100.015,94.751,100.015,3480550,37.765,50,,-0.791,1.66,-2.039,1.0,4,10000000000,35000000000
1711981800,104.33,106.438,103.276,105.384,102.222,100.115,94.845,100.115,94.845,100.115,2364598,54.485,50,,-0.195,-2.186,-3.43,1.0,4,10000000000,35000000000
1712068200,106.001,108.142,104.93,107.072,103.859,101.718,96.364,101.718,96.364,101.718,4402163,69.482,50,,0.565,-1.609,-2.87,1.0,4,10000000000,35000000000
1712154600,106.884,109.043,105.804,107.963,104.724,102.565,97.167,102.565,97.167,102.565,4513572,45.169,50,,0.095,4.144,3.377,1.0,4,10000000000,35000000000
1712241000,107.145,109.309,106.062,108.227,104.98,102.816,97.404,102.816,97.404,102.816,4221020,69.42,50,,-0.531,2.255,-4.153,1.0,4,10000000000,35000000000
1712327400,105.765,107.902,104.697,106.834,103.629,101.492,96.15,101.492,96.15,101.492,4820959,51.528,50,,-0.464,-1.678,0.059,1.0,4,10000000000,35000000000
1712586600,104.784,106.901,103.726,105.842,102.667,100.55,95.258,100.55,95.258,100.55,2421246,43.611,50,,-0.418,3.674,1.04,1.0,4,10000000000,35000000000
1712673000,106.888,109.048,105.809,107.968,104.729,102.57,97.171,102.57,97.171,102.57,4721459,49.552,50,,0.16,2.703,-1.793,1.0,4,10000000000,35000000000
1712759400,106.576,108.729,105.499,107.652,104.423,102.27,96.887,102.27,96.887,102.27,2594801,64.647,50,,0.576,3.285,-1.591,1.0,4,10000000000,35000000000
1712845800,107.198,109.364,106.115,108.281,105.032,102.867,97.453,102.867,97.453,102.867,4279541,67.047,50,,-0.847,0.503,0.66,1.0,4,10000000000,35000000000
1712932200,109.341,111.55,108.237,110.446,107.132,104.924,99.401,104.924,99.401,104.924,2530467,65.631,50,,0.129,4.251,-0.422,1.0,4,10000000000,35000000000
1713191400,108.427,110.618,107.332,109.523,106.237,104.047,98.57,104.047,98.57,104.047,4300978,31.83,50,,-0.409,1.137,-4.855,1.0,4,10000000000,35000000000
1713277800,108.142,110.327,107.05,109.234,105.957,103.773,98.311,103.773,98.311,103.773,4464998,65.402,50,,-0.92,-2.604,4.882,1.0,4,10000000000,35000000000
1713364200,107.891,110.071,106.802,108.981,105.712,103.532,98.083,103.532,98.083,103.532,1484686,48.036,50,,0.362,-3.411,3.45,1.0,4,10000000000,35000000000
1713450600,107.705,109.881,106.617,108.793,105.529,103.354,97.914,103.354,97.914,103.354,2586609,62.259,50,,0.086,3.184,0.502,1.0,4,10000000000,35000000000
1713537000,108.77,110.968,107.672,109.869,106.573,104.375,98.882,104.375,98.882,104.375,2318939,34.005,50,,0.304,-4.604,-4.895,1.0,4,10000000000,35000000000
1713796200,111.084,113.328,109.962,112.206,108.84,106.595,100.985,106.595,100.985,106.595,2239625,59.059,50,,-0.359,-1.087,-1.014,1.0,4,10000000000,35000000000
1713882600,109.161,111.367,108.059,110.264,106.956,104.751,99.238,104.751,99.238,104.751,2331060,68.793,50,,0.94,-3.886,-2.848,1.0,4,10000000000,35000000000
1713969000,109.811,112.029,108.702,110.92,107.592,105.374,99.828,105.374,99.828,105.374,4738003,51.717,50,,0.376,1.618,-2.409,1.0,4,10000000000,35000000000
1714055400,110.112,112.337,109.0,111.225,107.888,105.663,100.102,105.663,100.102,105.663,2288998,37.969,50,,-0.279,3.2,-4.106,1.0,4,10000000000,35000000000
1714141800,111.394,113.644,110.269,112.519,109.144,106.893,101.267,106.893,101.267,106.893,1379536,56.08,50,,0.287,4.407,-1.095,1.0,4,10000000000,35000000000
1714401000,110.601,112.836,109.484,111.719,108.367,106.133,100.547,106.133,100.547,106.133,2372549,37.473,50,,0.585,0.79,4.214,1.0,4,10000000000,35000000000
1714487400,109.531,111.744,108.425,110.638,107.319,105.106,99.574,105.106,99.574,105.106,1423405,51.769,50,,0.158,0.96,-2.549,1.0,4,10000000000,35000000000
1714573800,107.434,109.605,106.349,108.52,105.264,103.094,97.668,103.094,97.668,103.094,2022400,46.071,50,,-0.464,3.676,2.292,1.0,4,10000000000,35000000000
1714660200,105.383,107.512,104.318,106.447,103.254,101.125,95.803,101.125,95.803,101.125,1041594,41.633,50,,0.584,-0.067,3.626,1.0,4,10000000000,35000000000
1714746600,103.958,106.058,102.907,105.008,101.857,99.757,94.507,99.757,94.507,99.757,3103148,61.11,50,,-0.344,0.093,1.652,1.2,4,11000000000,35000000000
1715005800,102.662,104.736,101.625,103.699,100.588,98.514,93.329,98.514,93.329,98.514,1627312,69.396,50,,0.643,-1.802,-3.931,1.2,4,11000000000,35000000000
1715092200,102.827,104.904,101.788,103.866,100.75,98.672,93.479,98.672,93.479,98.672,4856062,54.076,50,,-0.747,-2.933,0.455,1.2,4,11000000000,35000000000
1715178600,103.891,105.99,102.842,104.941,101.793,99.694,94.447,99.694,94.447,99.694,4270481,42.643,50,,0.806,3.039,4.072,1.2,4,11000000000,35000000000
1715265000,105.482,107.613,104.416,106.547,103.351,101.22,95.893,101.22,95.893,101.22,4129726,69.477,50,,-0.589,-2.011,0.375,1.2,4,11000000000,35000000000
1715351400,103.587,105.68,102.541,104.634,101.495,99.402,94.17,99.402,94.17,99.402,4615905,56.711,50,,-0.495,-4.356,4.634,1.2,4,11000000000,35000000000
1715610600,105.032,107.154,103.971,106.093,102.91,100.788,95.484,100.788,95.484,100.788,3303805,40.009,50,,-0.121,0.381,-4.891,1.2,4,11000000000,35000000000
1715697000,106.621,108.775,105.544,107.698,104.467,102.313,96.928,102.313,96.928,102.313,1719396,40.319,50,,-0.951,1.464,-0.833,1.2,4,11000000000,35000000000
1715783400,107.043,109.206,105.962,108.125,104.881,102.718,97.312,102.718,97.312,102.718,1261395,57.668,50,,0.16,0.935,-3.615,1.2,4,11000000000,35000000000
1715869800,109.323,111.531,108.219,110.427,107.114,104.906,99.384,104.906,99.384,104.906,2161462,45.912,50,,-0.198,1.124,-2.665,1.2,4,11000000000,35000000000
1715956200,107.171,109.336,106.088,108.253,105.006,102.841,97.428,102.841,97.428,102.841,3217535,42.69,50,,0.786,4.204,4.301,1.2,4,11000000000,35000000000
1716215400,107.904,110.084,106.814,108.994,105.724,103.544,98.095,103.544,98.095,103.544,1946782,39.535,50,,-0.01,-0.212,-2.749,1.2,4,11000000000,35000000000
1716301800,107.614,109.788,106.527,108.701,105.44,103.266,97.831,103.266,97.831,103.266,3350519,54.451,50,,0.456,1.534,4.724,1.2,4,11000000000,35000000000
1716388200,106.454,108.605,105.379,107.529,104.303,102.153,96.776,102.153,96.776,102.153,4865485,32.862,50,,0.023,3.774,-3.405,1.2,4,11000000000,35000000000
1716474600,107.75,109.927,106.661,108.838,105.573,103.396,97.954,103.396,97.954,103.396,4703610,38.154,50,,-0.403,-2.004,0.523,1.2,4,11000000000,35000000000
1716561000,106.342,108.491,105.268,107.417,104.194,102.046,96.675,102.046,96.675,102.046,3941364,59.457,50,,0.189,3.563,3.966,1.2,4,11000000000,35000000000
1716820200,108.504,110.696,107.408,109.6,106.312,104.12,98.64,104.12,98.64,104.12,3395923,45.088,50,,-0.688,-0.732,4.417,1.2,4,11000000000,35000000000
1716906600,109.613,111.827,108.506,110.72,107.398,105.184,99.648,105.184,99.648,105.184,4281072,32.085,50,,0.363,2.172,-1.52,1.2,4,11000000000,35000000000
1716993000,109.792,112.01,108.683,110.901,107.574,105.356,99.811,105.356,99.811,105.356,1691213,51.769,50,,0.989,0.242,-4.096,1.2,4,11000000000,35000000000
1717079400,108.773,110.97,107.674,109.871,106.575,104.378,98.884,104.378,98.884,104.378,1423819,40.701,50,,0.826,4.594,-3.609,1.2,4,11000000000,35000000000
1717165800,110.141,112.366,109.029,111.254,107.916,105.691,100.128,105.691,100.128,105.691,4531313,68.672,50,,0.373,-4.18,3.51,1.2,4,11000000000,35000000000
1717425000,109.053,111.256,107.952,110.155,106.85,104.647,99.139,104.647,99.139,104.647,4569356,45.294,50,,0.605,-0.671,-3.352,1.2,4,11000000000,35000000000
1717511400,108.363,110.552,107.268,109.457,106.174,103.985,98.512,103.985,98.512,103.985,1529866,54.896,50,,-0.024,-2.88,-0.687,1.2,4,11000000000,35000000000
1717597800,108.626,110.821,107.529,109.723,106.432,104.237,98.751,104.237,98.751,104.237,4813864,34.724,50,,-0.409,-2.518,2.496,1.2,4,11000000000,35000000000
1717684200,106.472,108.623,105.397,107.547,104.321,102.17,96.793,102.17,96.793,102.17,1796241,51.135,50,,0.158,-4.692,4.731,1.2,4,11000000000,35000000000
1717770600,105.426,107.556,104.361,106.491,103.296,101.166,95.842,101.166,95.842,101.166,2092183,38.264,50,,-0.43,0.423,-2.268,1.2,4,11000000000,35000000000
1718029800,105.911,108.05,104.841,106.981,103.771,101.632,96.283,101.632,96.283,101.632,2052276,63.294,50,,-0.107,3.612,3.551,1.2,4,11000000000,35000000000
1718116200,104.54,106.652,103.484,105.596,102.428,100.316,95.036,100.316,95.036,100.316,2497179,49.632,50,,0.711,2.691,0.705,1.2,4,11000000000,35000000000
1718202600,104.132,106.235,103.08,105.184,102.028,99.924,94.665,99.924,94.665,99.924,2191381,62.422,50,,0.808,-4.758,0.693,1.2,4,11000000000,35000000000
1718289000,102.107,104.17,101.076,103.138,100.044,97.981,92.825,97.981,92.825,97.981,2243244,68.598,50,,0.522,4.735,-3.634,1.2,4,11000000000,35000000000
1718375400,102.211,104.276,101.178,103.243,100.146,98.081,92.919,98.081,92.919,98.081,3401567,62.219,50,,-0.126,1.773,2.586,1.2,4,11000000000,35000000000
1718634600,101.556,103.608,100.53,102.582,99.504,97.453,92.324,97.453,92.324,97.453,1519677,47.693,50,,-0.101,-1.952,-1.006,1.2,4,11000000000,35000000000
1718721000,102.865,104.943,101.826,103.904,100.787,98.709,93.514,98.709,93.514,98.709,3866441,52.857,50,,-0.774,4.178,-1.176,1.2,4,11000000000,35000000000
1718807400,103.214,105.299,102.171,104.256,101.129,99.043,93.831,99.043,93.831,99.043,2164427,55.421,50,,0.445,2.386,2.284,1.2,4,11000000000,35000000000
1718893800,102.012,104.072,100.981,103.042,99.951,97.89,92.738,97.89,92.738,97.89,4872636,48.463,50,,0.669,-0.91,2.446,1.2,4,11000000000,35000000000
1718980200,104.203,106.308,103.15,105.255,102.098,99.992,94.73,99.992,94.73,99.992,2280674,58.116,50,,-0.101,1.688,-3.026,1.2,4,11000000000,35000000000
1719239400,104.421,106.531,103.367,105.476,102.312,100.202,94.929,100.202,94.929,100.202,3846037,45.567,50,,-0.148,-0.947,3.612,1.2,4,11000000000,35000000000
1719325800,104.896,107.015,103.837,105.956,102.777,100.658,95.36,100.658,95.36,100.658,4077909,57.98,50,,0.935,-4.323,4.876,1.2,4,11000000000,35000000000
1719412200,103.889,105.988,102.84,104.939,101.79,99.692,94.445,99.692,94.445,99.692,3721035,41.635,50,,-0.958,2.213,-3.439,1.2,4,11000000000,35000000000
1719498600,105.21,107.335,104.147,106.273,103.084,100.959,95.645,100.959,95.645,100.959,2666470,61.299,50,,0.693,2.675,3.153,1.2,4,11000000000,35000000000
1719585000,105.781,107.918,104.713,106.85,103.644,101.507,96.165,101.507,96.165,101.507,2465699,66.506,50,,0.597,-0.889,1.85,1.2,4,11000000000,35000000000
1719844200,105.015,107.136,103.954,106.075,102.893,100.772,95.468,100.772,95.468,100.772,2938065,63.319,50,,-0.031,-0.329,-4.546,1.2,4,11000000000,35000000000
1719930600,105.165,107.289,104.103,106.227,103.04,100.916,95.605,100.916,95.605,100.916,4123698,53.625,50,,-0.86,-4.33,-0.575,1.2,4,11000000000,35000000000
1720017000,103.787,105.883,102.738,104.835,101.69,99.593,94.351,99.593,94.351,99.593,3978979,67.845,50,,0.381,-0.981,1.889,1.2,4,11000000000,35000000000
1720103400,104.348,106.456,103.294,105.402,102.24,100.132,94.862,100.132,94.862,100.132,1876145,51.124,50,,-0.526,-1.661,-4.314,1.2,4,11000000000,35000000000
1720189800,105.325,107.453,104.262,106.389,103.198,101.07,95.75,101.07,95.75,101.07,4818241,50.928,50,,-0.264,0.115,2.367,1.2,4,11000000000,35000000000
1720449000,103.965,106.065,102.914,105.015,101.864,99.764,94.513,99.764,94.513,99.764,3739161,59.403,50,,0.993,0.562,-1.441,1.2,4,11000000000,35000000000
1720535400,105.116,107.239,104.054,106.178,102.992,100.869,95.56,100.869,95.56,100.869,2646512,52.442,50,,-0.655,2.898,3.667,1.2,4,11000000000,35000000000
1720621800,104.469,106.579,103.414,105.524,102.358,100.248,94.972,100.248,94.972,100.248,1932471,40.351,50,,0.22,-2.558,1.608,1.2,4,11000000000,35000000000
1720708200,106.117,108.261,105.045,107.189,103.973,101.829,96.47,101.829,96.47,101.829,4642464,54.898,50,,-0.367,-0.682,2.616,1.2,4,11000000000,35000000000
1720794600,107.495,109.667,106.409,108.581,105.323,103.152,97.723,103.152,97.723,103.152,1796501,32.902,50,,0.465,3.711,0.791,1.2,4,11000000000,35000000000
1721053800,107.97,110.151,106.879,109.061,105.789,103.608,98.155,103.608,98.155,103.608,4913004,59.13,50,,0.213,-2.38,0.266,1.2,4,11000000000,35000000000
1721140200,106.439,108.59,105.364,107.514,104.289,102.139,96.763,102.139,96.763,102.139,1579224,65.755,50,,-0.119,-1.902,-0.992,1.2,4,11000000000,35000000000
1721226600,104.828,106.946,103.769,105.887,102.711,100.593,95.298,100.593,95.298,100.593,1864820,58.739,50,,-0.389,-3.936,-1.03,1.2,4,11000000000,35000000000
1721313000,104.9,107.019,103.84,105.959,102.78,100.661,95.363,100.661,95.363,100.661,1419322,68.213,50,,-0.91,3.095,-4.767,1.2,4,11000000000,35000000000
1721399400,106.117,108.26,105.045,107.188,103.973,101.829,96.47,101.829,96.47,101.829,3865965,31.389,50,,0.408,3.149,4.641,1.2,4,11000000000,35000000000
1721658600,106.727,108.883,105.649,107.805,104.571,102.415,97.025,102.415,97.025,102.415,2436310,56.517,50,,-0.451,1.132,-3.273,1.2,4,11000000000,35000000000
1721745000,105.588,107.721,104.521,106.655,103.455,101.322,95.989,101.322,95.989,101.322,1978187,49.801,50,,-0.244,-3.314,-2.683,1.2,4,11000000000,35000000000
1721831400,107.113,109.277,106.031,108.195,104.949,102.786,97.376,102.786,97.376,102.786,2940183,51.881,50,,-0.221,-0.483,-2.421,1.2,4,11000000000,35000000000
1721917800,107.204,109.37,106.121,108.287,105.038,102.872,97.458,102.872,97.458,102.872,1465339,66.379,50,,0.989,-4.538,2.974,1.2,4,11000000000,35000000000
1722004200,108.921,111.122,107.821,110.021,106.721,104.52,99.019,104.52,99.019,104.52,2340392,65.553,50,,0.696,-2.128,-3.041,1.4,4,12000000000,35000000000
1722263400,107.475,109.646,106.389,108.561,105.304,103.133,97.705,103.133,97.705,103.133,4457045,60.342,50,,-0.695,4.137,-4.848,1.4,4,12000000000,35000000000
1722349800,105.981,108.122,104.91,107.051,103.84,101.699,96.346,101.699,96.346,101.699,3788420,51.703,50,,0.129,-2.458,-4.205,1.4,4,12000000000,35000000000
1722436200,106.764,108.921,105.686,107.843,104.607,102.45,97.058,102.45,97.058,102.45,2272558,66.243,50,,-0.929,-4.391,3.406,1.4,4,12000000000,35000000000
1722522600,104.821,106.938,103.762,105.88,102.703,100.586,95.292,100.586,95.292,100.586,2147520,61.232,50,,-0.135,-3.099,-0.003,1.4,4,12000000000,35000000000
1722609000,103.298,105.385,102.255,104.342,101.211,99.124,93.907,99.124,93.907,99.124,2171346,57.471,50,,0.691,1.63,-1.103,1.4,4,12000000000,35000000000
1722868200,103.97,106.07,102.92,105.02,101.87,99.769,94.518,99.769,94.518,99.769,2089859,55.664,50,,-0.514,-4.398,4.352,1.4,4,12000000000,35000000000
1722954600,104.469,106.58,103.414,105.524,102.359,100.248,94.972,100.248,94.972,100.248,2466390,47.139,50,,0.396,1.384,4.691,1.4,4,12000000000,35000000000
1723041000,106.351,108.499,105.277,107.425,104.202,102.054,96.683,102.054,96.683,102.054,3293973,46.506,50,,-0.601,3.801,-0.759,1.4,4,12000000000,35000000000
1723127400,107.183,109.348,106.1,108.265,105.017,102.852,97.439,102.852,97.439,102.852,3992830,40.684,50,,0.221,4.724,-4.277,1.4,4,12000000000,35000000000
1723213800,105.838,107.976,104.769,106.907,103.7,101.562,96.217,101.562,96.217,101.562,1405032,36.04,50,,0.837,3.546,3.522,1.4,4,12000000000,35000000000
1723473000,103.956,106.056,102.906,105.006,101.856,99.756,94.506,99.756,94.506,99.756,1382596,66.494,50,,0.026,0.011,-4.007,1.4,4,12000000000,35000000000
1723559400,103.242,105.328,102.2,104.285,101.157,99.071,93.857,99.071,93.857,99.071,1531110,51.259,50,,-0.113,-3.718,-1.048,1.4,4,12000000000,35000000000
1723645800,104.246,106.352,103.193,105.299,102.14,100.034,94.769,100.034,94.769,100.034,4700699,47.843,50,,0.473,-2.3,-2.5,1.4,4,12000000000,35000000000
1723732200,103.586,105.679,102.54,104.632,101.493,99.401,94.169,99.401,94.169,99.401,2266007,31.368,50,,-0.232,2.326,-1.868,1.4,4,12000000000,35000000000
1723818600,102.08,104.142,101.049,103.111,100.018,97.955,92.8,97.955,92.8,97.955,4332677,45.207,50,,-0.766,1.778,-4.059,1.4,4,12000000000,35000000000
1724077800,103.646,105.739,102.599,104.692,101.552,99.458,94.223,99.458,94.223,99.458,3108640,52.287,50,,-0.34,-1.613,2.836,1.4,4,12000000000,35000000000
1724164200,105.735,107.872,104.667,106.804,103.599,101.463,96.123,101.463,96.123,101.463,3450062,49.246,50,,-0.741,3.147,0.237,1.4,4,12000000000,35000000000
1724250600,106.102,108.245,105.03,107.173,103.958,101.815,96.456,101.815,96.456,101.815,4540016,63.391,50,,0.403,0.356,3.968,1.4,4,12000000000,35000000000
1724337000,107.686,109.861,106.598,108.773,105.51,103.335,97.896,103.335,97.896,103.335,2221909,59.727,50,,-0.6,-1.108,-1.758,1.4,4,12000000000,35000000000
1724423400,107.384,109.553,106.299,108.469,105.215,103.045,97.622,103.045,97.622,103.045,1530020,52.996,50,,-0.913,3.149,1.511,1.4,4,12000000000,35000000000
1724682600,106.651,108.805,105.574,107.728,104.496,102.342,96.955,102.342,96.955,102.342,2251248,42.752,50,,-0.455,2.487,0.201,1.4,4,12000000000,35000000000
1724769000,104.556,106.669,103.5,105.613,102.444,100.332,95.051,100.332,95.051,100.332,1511134,35.95,50,,0.829,-1.744,-1.724,1.4,4,12000000000,35000000000
1724855400,102.768,104.844,101.73,103.806,100.691,98.615,93.425,98.615,93.425,98.615,2172778,49.188,50,,0.826,4.276,4.698,1.4,4,12000000000,35000000000
1724941800,104.233,106.338,103.18,105.286,102.127,100.021,94.757,100.021,94.757,100.021,4881590,33.127,50,,0.158,-4.439,-4.513,1.4,4,12000000000,35000000000
1725028200,104.303,106.41,103.249,105.356,102.196,100.088,94.821,100.088,94.821,100.088,4578158,69.7,50,,0.568,2.029,2.466,1.4,4,12000000000,35000000000
1725287400,103.801,105.898,102.752,104.849,101.704,99.607,94.364,99.607,94.364,99.607,4952349,61.876,50,,-0.26,-1.926,0.983,1.4,4,12000000000,35000000000
1725373800,103.209,105.294,102.166,104.251,101.124,99.039,93.826,99.039,93.826,99.039,3128785,36.712,50,,-0.703,1.872,0.628,1.4,4,12000000000,35000000000
1725460200,105.075,107.198,104.014,106.137,102.953,100.83,95.523,100.83,95.523,100.83,1774269,60.653,50,,0.878,1.197,3.117,1.4,4,12000000000,35000000000
1725546600,107.293,109.46,106.209,108.376,105.125,102.958,97.539,102.958,97.539,102.958,3857650,40.629,50,,-0.786,-2.383,1.321,1.4,4,12000000000,35000000000
1725633000,107.519,109.691,106.433,108.605,105.347,103.175,97.744,103.175,97.744,103.175,1329239,64.206,50,,0.588,-2.826,3.383,1.4,4,12000000000,35000000000
1725892200,107.678,109.853,106.59,108.766,105.503,103.327,97.889,103.327,97.889,103.327,2812316,30.874,50,,-0.264,3.476,2.103,1.4,4,12000000000,35000000000
1725978600,106.808,108.966,105.729,107.887,104.65,102.492,97.098,102.492,97.098,102.492,4738305,38.015,50,,-0.013,3.989,-2.648,1.4,4,12000000000,35000000000
1726065000,106.7,108.856,105.622,107.778,104.545,102.389,97.0,102.389,97.0,102.389,2539981,51.779,50,,0.889,2.982,2.258,1.4,4,12000000000,35000000000
1726151400,108.214,110.4,107.121,109.307,106.028,103.842,98.377,103.842,98.377,103.842,2076095,46.292,50,,-0.983,0.32,-1.193,1.4,4,12000000000,35000000000
1726237800,110.032,112.254,108.92,111.143,107.809,105.586,100.029,105.586,100.029,105.586,1320499,46.15,50,,0.765,2.962,0.846,1.4,4,12000000000,35000000000
1726497000,108.016,110.199,106.925,109.107,105.834,103.652,98.197,103.652,98.197,103.652,4569946,69.515,50,,-0.987,4.605,1.96,1.4,4,12000000000,35000000000
1726583400,108.769,110.966,107.67,109.868,106.572,104.374,98.881,104.374,98.881,104.374,3268164,34.802,50,,-0.395,3.872,2.469,1.4,4,12000000000,35000000000
1726669800,111.028,113.271,109.907,112.15,108.785,106.542,100.935,106.542,100.935,106.542,3277627,55.802,50,,0.988,-2.175,-0.886,1.4,4,12000000000,35000000000
1726756200,113.19,115.476,112.046,114.333,110.903,108.616,102.9,108.616,102.9,108.616,4887236,68.135,50,,-0.183,1.3,-1.922,1.4,4,12000000000,35000000000
1726842600,112.361,114.631,111.226,113.496,110.091,107.821,102.146,107.821,102.146,107.821,3123648,47.767,50,,-0.719,2.725,4.746,1.4,4,12000000000,35000000000
